scenario,heat_rebound,trans_rebound,heat_lifetime,trans_turnover,lead_onshore,lead_solar,cr_wind,cr_solar
S3_357,0.829,0.671,20.818,0.206,2.106,1.518,-1.863,-0.301
S3_358,1.053,0.912,19.576,0.333,2.714,1.558,-0.83,-0.801
S3_359,0.747,1.383,22.36,0.287,1.04,2.834,-1.711,-2.907
S3_360,0.968,0.929,24.447,0.203,0.938,0.819,-1.077,-2.796
S3_361,1.019,1.438,22.825,0.292,1.374,2.537,-1.198,-0.425
S3_362,1.406,0.836,24.421,0.344,2.856,1.515,-0.996,-2.221
S3_363,1.308,0.772,15.632,0.338,1.07,1.998,-1.162,-2.245
S3_364,1.189,1.073,20.152,0.313,1.86,2.518,-0.971,-0.776
S3_365,0.79,1.117,19.823,0.336,0.885,1.833,-0.238,-2.14
S3_366,1.499,1.286,15.609,0.315,1.932,1.012,-1.293,-2.067
S3_367,0.643,0.765,17.789,0.313,1.33,0.811,-0.153,-2.338
S3_368,1.415,0.652,17.982,0.311,1.669,0.615,-0.535,-0.616
S3_369,0.588,0.597,21.778,0.246,2.232,1.569,-1.455,-2.442
S3_370,1.337,0.644,24.972,0.311,1.327,0.787,-1.287,-3.043
S3_371,0.934,1.263,23.23,0.205,1.684,0.643,-0.13,-2.277
S3_372,1.471,0.751,23.913,0.171,0.57,0.842,-1.31,-1.887
S3_373,0.647,0.802,15.587,0.275,1.888,0.919,-0.256,-1.766
S3_374,1.075,1.419,24.083,0.274,2.224,2.774,-1.678,-0.291
S3_375,0.87,0.52,21.059,0.306,2.879,1.164,-1.556,-3.184
S3_376,0.827,0.859,21.252,0.215,1.029,1.801,-0.424,-3.19
S3_377,0.668,1.047,18.365,0.249,0.586,2.641,-1.233,-0.493
S3_378,0.78,0.926,16.582,0.209,2.78,0.967,-1.361,-2.839
S3_379,0.756,0.552,19.303,0.278,2.02,1.396,-0.983,-0.429
S3_380,0.535,1.474,17.09,0.172,2.867,2.351,-0.347,-1.799
S3_381,0.603,0.662,22.146,0.219,0.762,2.501,-1.398,-2.003
S3_382,0.551,1.093,17.386,0.221,1.869,2.31,-0.299,-1.08
S3_383,1.433,0.605,19.342,0.308,2.917,2.741,-1.265,-2.688
S3_384,0.869,1.12,24.9,0.275,1.291,1.524,-1.065,-2.669
S3_385,0.625,0.87,19.421,0.202,2.548,1.318,-1.417,-2.369
S3_386,1.373,0.642,15.112,0.325,0.571,1.205,-1.303,-2.847
S3_387,0.528,0.903,16.474,0.281,0.548,2.031,-1.642,-3.047
S3_388,1.343,0.663,16.84,0.233,1.702,2.355,-1.688,-0.562
S3_389,1.006,0.704,15.359,0.347,1.747,2.972,-0.337,-1.133
S3_390,1.015,1.486,18.746,0.19,1.797,1.685,-0.973,-1.897
S3_391,1.329,1.447,15.258,0.237,1.896,0.678,-1.743,-0.341
S3_392,1.263,0.759,22.065,0.157,0.711,1.488,-1.606,-1.106
S3_393,0.514,1.083,18.137,0.228,0.966,2.083,-0.877,-0.507
S3_394,0.77,0.582,23.076,0.269,1.148,1.185,-1.367,-2.946
S3_395,1.201,1.25,17.202,0.232,1.557,2.907,-1.874,-0.594
S3_396,0.681,0.937,17.477,0.33,2.411,1.063,-1.92,-1.562
S3_397,0.929,1.025,20.738,0.198,1.99,0.87,-1.464,-2.919
S3_398,0.773,0.718,19.229,0.186,2.901,0.561,-0.605,-2.384
S3_399,1.411,1.35,16.081,0.225,2.717,2.86,-1.049,-1.946
S3_400,1.223,0.564,20.577,0.345,2.446,1.167,-1.949,-3.25
S3_401,1.309,1.346,20.605,0.215,1.536,2.967,-0.853,-1.787
S3_402,0.701,0.89,16.28,0.236,1.158,2.783,-0.582,-1.663
S3_403,1.336,1.342,24.33,0.268,2.784,2.579,-0.75,-2.602
S3_404,1.168,0.896,24.349,0.152,2.456,1.4,-1.717,-3.024
S3_405,1.444,0.844,19.369,0.266,1.443,1.148,-0.858,-3.257
S3_406,1.177,0.892,23.801,0.203,2.948,1.467,-0.7,-1.114
S3_407,1.001,1.154,16.379,0.177,1.621,2.092,-1.44,-1.932
S3_408,1.087,0.629,20.251,0.248,1.25,2.922,-1.935,-2.462
S3_409,0.979,0.545,24.685,0.314,1.271,1.813,-0.596,-1.803
S3_410,1.314,0.616,16.337,0.265,0.759,1.009,-0.906,-3.222
S3_411,0.945,1.1,16.508,0.185,1.208,1.936,-0.499,-1.67
S3_412,1.107,1.484,17.646,0.164,2.747,1.324,-1.117,-1.578
S3_413,1.466,1.377,22.61,0.179,2.401,1.699,-1.161,-1.976
S3_414,0.58,1.205,17.435,0.27,2.03,0.899,-0.636,-0.632
S3_415,1.332,1.2,15.472,0.244,2.539,0.805,-1.004,-3.084
S3_416,0.626,1.121,20.485,0.281,1.084,1.901,-0.71,-2.633
S3_417,0.918,1.337,24.678,0.285,2.658,2.111,-1.121,-0.939
S3_418,0.926,0.719,17.498,0.196,1.125,2.159,-1.184,-0.929
S3_419,1.023,0.982,24.882,0.214,2.496,2.803,-0.109,-2.356
S3_420,0.958,1.034,17.617,0.215,1.469,1.251,-0.53,-1.389
S3_421,0.984,0.666,19.882,0.261,2.283,1.458,-1.083,-1.965
S3_422,1.15,1.499,24.111,0.184,0.515,1.181,-0.894,-1.261
S3_423,0.813,1.437,21.128,0.305,0.731,2.581,-0.364,-0.351
S3_424,0.894,1.259,18.181,0.347,1.625,1.118,-0.698,-0.458
S3_425,1.397,0.784,19.162,0.181,0.822,1.59,-1.514,-3.179
S3_426,1.274,1.243,19.54,0.328,1.545,1.879,-1.851,-2.046
S3_427,1.173,1.151,16.073,0.15,0.701,1.675,-0.949,-1.138
S3_428,1.04,1.308,20.361,0.196,2.848,2.38,-1.103,-1.062
S3_429,0.646,0.952,22.692,0.296,0.68,2.762,-1.668,-1.525
S3_430,0.949,0.723,17.223,0.3,0.784,0.721,-0.488,-2.574
S3_431,0.648,0.537,18.669,0.258,2.012,1.542,-1.13,-3.08
S3_432,1.193,1.087,16.488,0.342,1.849,0.839,-1.945,-1.244
S3_433,0.775,0.86,20.694,0.304,1.779,1.246,-1.89,-0.541
S3_434,1.16,0.675,17.033,0.325,2.984,1.91,-0.879,-1.776
S3_435,0.893,1.344,20.414,0.327,1.693,1.556,-1.74,-1.199
S3_436,1.477,1.236,16.149,0.252,0.859,1.462,-1.629,-2.801
S3_437,1.466,0.751,20.914,0.266,2.045,1.927,-1.583,-2.126
S3_438,0.51,1.35,24.32,0.309,2.137,2.597,-0.277,-2.658
S3_439,0.696,0.518,21.335,0.285,2.727,2.674,-1.798,-2.681
S3_440,1.126,1.011,19.733,0.153,2.379,2.035,-1.333,-0.375
S3_441,0.864,1.336,17.838,0.267,0.913,0.892,-1.499,-1.682
S3_442,1.289,0.633,20.194,0.245,1.141,0.532,-1.698,-0.787
S3_443,0.867,0.919,22.034,0.214,1.806,1.076,-1.378,-1.102
S3_444,1.123,0.692,22.496,0.204,1.457,0.862,-0.514,-1.405
S3_445,1.401,1.03,22.798,0.286,2.422,0.684,-0.279,-2.816
S3_446,0.994,1.09,21.44,0.228,0.979,1.255,-1.299,-3.13
S3_447,0.822,1.174,18.688,0.173,2.314,2.728,-1.079,-0.252
S3_448,0.566,0.624,17.18,0.237,1.42,2.935,-0.283,-1.847
S3_449,1.132,0.833,22.916,0.156,1.902,2.981,-0.566,-2.145
S3_450,1.163,1.469,24.784,0.325,0.634,1.734,-1.713,-1.635
S3_451,1.439,1.391,20.233,0.307,1.972,2.475,-0.873,-0.527
S3_452,0.624,1.421,21.999,0.322,1.601,0.917,-1.173,-2.94
S3_453,0.986,1.112,19.473,0.303,0.866,0.517,-0.409,-2.212
S3_454,0.769,1.238,19.136,0.29,1.658,1.907,-0.904,-0.844
S3_455,0.504,0.841,16.184,0.193,1.984,2.42,-0.114,-0.913
S3_456,0.824,1.08,16.878,0.288,0.774,2.139,-0.66,-0.854
S3_457,1.3,0.549,20.531,0.219,2.618,2.398,-1.82,-2.7
S3_458,0.688,1.373,19.062,0.251,2.611,0.704,-1.929,-0.265
S3_459,0.702,0.739,21.618,0.301,1.486,2.243,-0.232,-1.395
S3_460,0.961,1.098,16.866,0.323,0.752,1.239,-1.444,-1.817
S3_461,0.55,0.992,15.086,0.175,2.202,2.698,-1.505,-3.195
S3_462,0.982,1.175,23.419,0.211,1.993,2.574,-1.046,-1.269
S3_463,0.996,0.693,22.846,0.349,2.184,0.698,-0.265,-2.752
S3_464,1.245,1.467,19.33,0.342,0.943,2.88,-1.587,-1.642
S3_465,0.611,0.933,21.167,0.253,0.695,1.28,-1.028,-2.016
S3_466,0.88,1.208,15.429,0.226,0.718,2.523,-0.968,-0.961
S3_467,0.845,0.526,19.759,0.235,1.657,0.794,-0.929,-3.124
S3_468,0.876,0.6,23.738,0.314,1.434,0.727,-0.747,-3.0
S3_469,1.358,1.198,21.667,0.204,0.801,1.976,-1.565,-2.347
S3_470,0.713,1.314,22.379,0.2,1.827,2.087,-1.898,-1.319
S3_471,1.11,1.179,24.84,0.295,2.56,1.754,-1.844,-0.859
S3_472,1.234,1.356,21.728,0.346,1.648,0.888,-1.223,-3.236
S3_473,1.067,0.706,24.004,0.151,2.095,1.593,-0.65,-0.99
S3_474,1.008,1.318,18.089,0.319,2.752,1.759,-0.413,-1.919
S3_475,0.615,1.443,18.759,0.329,2.394,2.891,-1.619,-1.66
S3_476,0.65,0.9,17.463,0.245,0.88,2.558,-1.664,-0.723
S3_477,1.165,0.511,20.89,0.24,1.575,1.111,-1.412,-2.85
S3_478,1.409,1.246,22.822,0.18,1.785,2.706,-0.405,-1.793
S3_479,0.81,0.849,19.951,0.271,0.517,2.965,-0.828,-0.471
S3_480,0.579,1.451,22.167,0.172,0.606,2.327,-1.637,-1.733
S3_481,1.09,0.502,15.132,0.303,1.055,1.039,-0.925,-1.19
S3_482,1.196,1.265,24.772,0.194,2.975,2.817,-1.188,-2.89
S3_483,1.104,0.936,17.361,0.345,2.514,1.578,-1.974,-2.388
S3_484,1.191,1.388,22.877,0.322,1.723,0.802,-0.778,-2.867
S3_485,0.859,0.981,15.721,0.205,0.826,1.277,-1.883,-2.45
S3_486,1.369,1.049,18.155,0.259,2.291,2.289,-0.631,-0.487
S3_487,0.847,0.562,24.261,0.161,1.583,1.407,-0.102,-3.217
S3_488,1.431,1.409,21.4,0.225,1.048,2.9,-0.469,-0.41
S3_489,0.755,1.21,15.533,0.277,1.495,2.461,-0.465,-3.099
S3_490,1.236,0.657,23.351,0.341,1.505,0.521,-1.488,-1.301
S3_491,0.593,0.92,17.733,0.195,1.178,1.728,-0.73,-2.257
S3_492,1.301,1.288,24.365,0.247,1.887,1.494,-1.169,-0.932
S3_493,1.082,1.493,16.958,0.262,2.403,1.947,-1.251,-1.016
S3_494,0.91,0.973,15.219,0.236,1.707,1.128,-0.172,-1.069
S3_495,1.172,1.183,18.794,0.337,2.625,2.145,-1.256,-2.544
S3_496,0.654,1.053,21.022,0.168,2.693,1.191,-1.766,-2.88
S3_497,1.217,0.775,19.717,0.161,0.66,1.877,-1.909,-1.609
S3_498,0.542,0.638,15.239,0.166,2.99,1.388,-0.883,-0.728
S3_499,1.418,0.618,24.921,0.276,1.459,0.71,-0.993,-1.484
S3_500,1.238,0.756,21.985,0.226,1.067,2.316,-1.069,-1.125
S3_501,0.923,0.594,16.999,0.17,2.384,1.53,-0.193,-2.135
