"scenario","US_phase_pol","US_price_pol","US_cp_pol","CN_phase_pol","CN_price_pol","CN_cp_pol","IN_phase_pol","IN_price_pol","IN_cp_pol","RGS_phase_pol","RGS_price_pol","RGS_cp_pol","RGN_phase_pol","RGN_price_pol","RGN_cp_pol","learning_solar","learning_wind","lifetime_solar","lifetime_wind","lead_onshore","lead_solar","lead_commission","cr_wind","cr_solar","discr","elec_demand","ccgt_price","coal_price","tech_potential"
"S3_97",0.08,0.24,0.49,0.08,0.19,0.82,0.69,0.19,0.53,0.81,0.86,1,0.42,0.62,0.23,0.52906976744186,0.896341463414634,0.5891,0.9397,0.663,0.199,0.482,0.561728395061728,0.161712846347607,0.104,0.435,0.505,0.122,0.241
"S3_98",0.61,0.11,0.48,0.41,0.18,0.05,0.31,0.61,0.62,0.67,0.84,0.6,0.59,0.23,0.57,0.25,0.975609756097561,0.00990000000000002,0.8124,0.435,0.1205,0.673,0.477366255144033,0.975818639798489,0.79,0.455,0.887,0.063,0.742
"S3_99",0.7,0.12,0.77,0.6,0.01,0.57,0.95,0.16,0.67,0.57,0.11,0.25,0.83,0.87,0.59,0.662790697674418,0.121951219512195,0.3769,0.9885,0.325,0.3615,0.377,0.641975308641975,0.983375314861461,0.337,0.529,0.257,0.699,0.904
"S3_100",0.73,0.24,0.15,0.98,0.58,0.77,0.07,0.6,0.97,0.55,0.45,0.33,0.88,0.8,0.58,0.383720930232558,0.780487804878049,0.9949,0.00420000000000016,0.139,0.9575,0.818,0.0576131687242799,0.261460957178841,0.894,0.921,0.895,0.362,0.089
"S3_101",0.88,0.79,0.13,0.54,0.03,0.53,0.05,0.06,0.97,0.97,0.81,0.65,0.03,0.08,0.54,0.581395348837209,0.689024390243902,0.4003,0.8388,0.932,0.2865,0.735,0.38477366255144,0.152141057934509,0.998,0.38,0.35,0.53,0.233
"S3_102",0.62,0.48,0.41,0.3,0.73,0.73,0.38,0.07,0.81,0.43,0.51,0.52,0.73,0.73,0.87,0.761627906976744,0.786585365853658,0.7058,0.9323,0.33,0.349,0.115,0.0123456790123457,0.238287153652393,0.991,0.255,0.808,0.685,0.507
"S3_103",0.48,0.21,0.7,0.71,0.76,0.96,0.25,0.56,0.23,0.33,0.98,0.76,0.11,0.2,0.51,0.738372093023256,0.725609756097561,0.2482,0.6016,0.419,0.3855,0.152,0.619341563786008,0.197481108312343,0.605,0.251,0.716,0.701,0.123
"S3_104",0.35,0.09,0.64,0.9,0.62,0.57,0.41,0.9,0.82,0.01,0.76,0.08,0.59,0.59,0.26,0.994186046511628,0.829268292682927,0.9434,0.4885,0.443,0.5805,0.105,0.0390946502057613,0.126448362720403,0.658,0.109,0.284,0.073,0.369
"S3_105",0.77,0.59,0.41,0.74,0.99,0.16,0.53,0.65,0.77,0.37,0.3,0.61,0.37,0.06,0.69,0.156976744186046,0.810975609756097,0.0895,0.7672,0.937,0.381,0.349,0.886831275720164,0.422670025188917,0.829,0.58,0.392,0.967,0.668
"S3_106",0.97,0.21,0.82,0.54,0.75,0.6,0.47,0.91,0.55,0.34,0.45,0.14,0.22,0.89,0.24,0.412790697674418,0.701219512195122,0.2271,0.7255,0.794,0.9235,0.652,0.271604938271605,0.519395465994962,0.379,0.944,0.986,0.275,0.358
"S3_107",0.24,0.76,0.3,0.17,0.28,0.8,0.04,0.39,0.34,0.98,0.59,0.05,0.07,0.29,0.47,0.273255813953488,0.0182926829268293,0.8081,0.6089,0.245,0.962,0.426,0.792181069958847,0.205037783375315,0.631,0.637,0.743,0.178,0.931
"S3_108",0.19,0.3,0.52,0.22,0.64,0.01,0.7,0.75,0.65,0.4,0.23,0.28,0.5,0.54,0.3,0.319767441860465,0.0121951219512195,0.2866,0.4475,0.526,0.8475,0.555,0.633744855967078,0.878589420654912,0.49,0.555,0.019,0.806,0.661
"S3_109",0.61,0.12,0.18,0.8,0.14,0.96,0.04,0.22,0.96,0.51,0.22,0.56,0.99,0.29,0.06,0.308139534883721,0.99390243902439,0.98,0.7743,0.391,0.2165,0.758,0.61522633744856,0.757682619647355,0.057,0.919,0.349,0.592,0.711
"S3_110",0.73,0.19,0.67,0.86,0.2,0.8,0.02,0.69,0.22,0.35,0.43,0.45,0.02,0.43,0.23,0.593023255813953,0.445121951219512,0.477,0.1999,0.773,0.618,0.399,0.213991769547325,0.498740554156171,0.456,0.293,0.543,0.861,0.934
"S3_111",0.34,0.17,0.92,0.48,0.66,0.02,0.22,0.67,0.21,0.65,0.57,0.94,0.5,0.33,0.09,0.802325581395349,0.658536585365854,0.1291,0.3134,0.0190000000000001,0.5095,0.077,0.203703703703704,0.0176322418136021,0.132,0.767,0.137,0.77,0.581
"S3_112",0.02,1,0.07,0.28,0.39,0.92,0.32,0.34,0.25,0.82,0.56,0.69,0,0.67,0.64,0.86046511627907,0.48780487804878,0.4895,0.3697,0.414,0.29,0.178,0.860082304526749,0.638287153652393,0.164,0.975,0.086,0.459,0.988
"S3_113",0.94,0.29,0.11,0.83,0.61,0.2,0.29,0.45,0.26,0.68,0.33,0.42,0.73,0.69,0.3,0.575581395348837,0.548780487804878,0.7555,0.3033,0.148,0.126,0.624,0.378600823045268,0.954659949622166,0.907,0.925,0.565,0.101,0.196
"S3_114",0.56,0.55,0.83,0.09,0.47,0.48,0.18,0.01,0,0.46,0.27,0.56,0.51,0.41,0.03,0.191860465116279,0.0731707317073171,0.00779999999999994,0.4332,0.186,0.7125,0.267,0.380658436213992,0.687657430730479,0.705,0.992,0.339,0.991,0.373
"S3_115",0.37,0.75,0.32,0.04,0.46,0.37,0.03,0.2,0.66,0.83,0.97,0.51,1,0.8,0.5,0.877906976744186,0.835365853658536,0.4605,0.5333,0.954,0.682,0.548,0.253086419753086,0.0659949622166247,0.162,0.119,0.299,0.44,0.258
"S3_116",0.91,0.82,0.59,0.1,0.05,0.44,0.58,0.36,0.61,1,0.48,0.93,0.27,0.27,0.33,0.267441860465116,0.823170731707317,0.1125,0.3018,0.857,0.429,0.61,0.366255144032922,0.880604534005038,0.111,0.999,0.254,0.977,0.33
"S3_117",0.83,0.36,0.27,0.54,0.27,0.8,0.29,0.55,0.69,0.62,0.04,0.86,0.22,0.08,0.4,0.622093023255814,0.518292682926829,0.6687,0.2732,0.618,0.3155,0.081,0.489711934156378,0.100251889168766,0.733,0.319,0.161,0.942,0.634
"S3_118",0.82,0.17,0.59,0.87,0.61,0.94,0.91,0.15,0.64,0.38,0.04,0.49,0.52,0.64,0.21,0.88953488372093,0.140243902439025,0.1799,0.4348,0.351,0.174,0.871,0.273662551440329,0.303274559193955,0.622,0.685,0.648,0.194,0.038
"S3_119",0,0.8,0.3,0.42,0.35,0.17,0.96,0.46,0.48,0.39,0.91,0.22,0.81,0.04,0.14,0.66860465116279,0.115853658536585,0.9612,0.1788,0.994,0.672,0.054,0.0637860082304528,0.659445843828715,0.13,0.997,0.754,0.905,0.441
"S3_120",0.32,0.64,0.53,0.69,0.9,0.6,0.58,0.68,0.1,0.43,0.31,0.61,0.32,0.16,0.74,0.831395348837209,0.140243902439025,0.2655,0.9164,0.599,0.91,0.878,0.55761316872428,0.642317380352645,0.02,0.209,0.356,0.875,0.77
"S3_121",0.96,0.16,0.72,0.51,0.73,0.86,0.22,0.14,0.6,0.62,0.58,0.18,0.06,0.82,0.64,0.162790697674419,0.49390243902439,0.1265,0.0664999999999999,0.787,0.6995,0.668,0.847736625514403,0.3727959697733,0.946,0.376,0.984,0.907,0.481
"S3_122",0.49,0.82,0.97,0.15,0.82,0.85,0.87,0.88,0.82,0.53,0.39,0.88,0.59,0.35,0.57,0.436046511627907,0.792682926829268,0.0221,0.7471,0.46,0.313,0.192,0.195473251028807,0.1727959697733,0.137,0.821,0.657,0.228,0.439
"S3_123",0.03,0.76,0.89,0.21,0.5,0.91,0.04,0.14,0.93,0.19,0.44,0.27,0.56,0.63,0.97,0.0232558139534882,0.871951219512195,0.1004,0.2003,0.183,0.94,0.868,0.771604938271605,0.528463476070529,0.158,0.057,0.92,0.651,0.384
"S3_124",0.63,0.33,0.16,0.46,0.25,0.98,0.49,0.13,0.41,0.23,0.67,0.88,0.67,0.47,0.42,0.209302325581395,0.49390243902439,0.1448,0.3715,0.712,0.8355,0.548,0.919753086419753,0.206549118387909,0.64,0.584,0.377,0.835,0.125
"S3_125",0.48,0.52,0.05,0.94,0.23,0.38,0.57,0.44,0.14,0.84,0.02,0.77,0.41,0.72,0.33,0.186046511627907,0.597560975609756,0.869,0.8719,0.981,0.783,0.232,0.181069958847736,0.888664987405542,0.82,0.781,0.479,0.041,0.872
"S3_126",0.53,0.58,0.67,0.62,0.52,0.27,0.51,0.3,0.61,0.41,0.15,0.55,0.52,0.64,0.52,0.52906976744186,0.0487804878048781,0.2833,0.0946000000000002,0.922,0.9735,0.581,0.987654320987654,0.185894206549118,0.682,0.304,0.308,0.765,0.703
"S3_127",0.48,0.38,0.19,0.62,0.15,0.76,0.8,0.96,0.8,0.57,0.23,0.91,0.45,0.49,0.86,0.581395348837209,0.158536585365854,0.3327,0.8359,0.487,0.7315,0.817,0.39917695473251,0.140554156171285,0.421,0.112,0.556,0.615,0.934
"S3_128",0.25,0.05,0.2,0.92,0.33,0.13,0.97,0.19,0.24,0.09,0.89,0.06,0.04,0.38,0.19,0.686046511627907,0.0121951219512195,0.198,0.4749,0.364,0.571,0.396,0.954732510288066,0.65088161209068,0.725,0.587,0.912,0.828,0.368
"S3_129",0.04,0.47,0.11,0.3,0.45,0.73,0.04,0.84,0.91,0.1,0.93,0.44,0.93,0.99,0.9,0.953488372093023,0.695121951219512,0.2946,0.9552,0.383,0.918,0.782,0.189300411522634,0.652896725440806,0.289,0.046,0.711,0.785,0.992
"S3_130",0.65,0.15,0.65,0.84,0.66,0.87,0.11,0.28,0.44,0.17,0.99,0.85,0.24,0.57,0.09,0.331395348837209,0.939024390243902,0.9387,0.7268,0.835,0.449,0.126,0.925925925925926,0.0282115869017633,0.939,0.737,0.769,0.58,0.399
"S3_131",0.65,0.19,0.98,0,0.27,0.05,0.77,0.27,0.35,0.26,0.94,0.06,0.95,0.76,0.31,0.848837209302325,0.932926829268293,0.3799,0.9605,0.55,0.711,0.436,0.658436213991769,0.85088161209068,0.873,0.328,0.495,0.22,0.942
"S3_132",0.78,0.11,0.65,0.36,0.52,0.66,0.21,0.86,0.12,0.62,0.1,0.41,0.15,0.15,0.95,0.255813953488372,0.475609756097561,0.6636,0.9282,0.277,0.4315,0.777,0.316872427983539,0.434760705289673,0.095,0.107,0.011,0.011,0.619
"S3_133",0.34,0.61,0.18,0.77,0.52,0.91,0.8,0.35,0.74,0.11,0.09,0.42,0.85,0.75,0.09,0.825581395348837,0.298780487804878,0.6811,0.1494,0.879,0.1255,0.951,0.757201646090535,0.463979848866499,0.016,0.545,0.961,0.474,0.001
"S3_134",0.52,0.2,0.93,0.14,0.14,0.43,0.8,0.94,0.39,0.74,0.6,0.24,0.53,0.25,0.26,0.406976744186046,0.420731707317073,0.7616,0.5846,0.582,0.176,0.329,0.323045267489712,0.0926952141057935,0.047,0.449,0.17,0.85,0.833
"S3_135",0.58,0.93,0.72,0.79,0.75,0.53,0.19,0.83,0.68,0.19,0.01,0.97,0.21,0.49,0.57,0.197674418604651,0.567073170731707,0.1627,0.0832999999999998,0.811,0.6385,0.109,0.674897119341564,0.629722921914358,0.559,0.217,0.514,0.714,0.311
"S3_136",0.63,0.42,0.85,0.11,0.53,0.54,0.74,0.22,0.64,0.85,0.86,0.82,0.96,0.42,0.63,0.918604651162791,0.292682926829268,0.8356,0.5508,0.866,0.0775,0.885,0.613168724279835,0.0806045340050379,0.912,0.613,0.29,0.364,0.417
"S3_137",0.82,0.7,0.46,0.82,0.18,0.29,0.21,0.4,0.4,0.27,0.56,0.19,0.13,0.51,0.83,0.406976744186046,0.810975609756097,0.6355,0.7797,0.899,0.6565,0.211,0.851851851851852,0.64735516372796,0.357,0.541,0.748,0.249,0.927
"S3_138",0.41,0.54,0.32,0.12,0.55,0,0.98,0.22,0.62,0.22,0.74,0.71,0.34,0.85,0.71,0.174418604651163,0.902439024390244,0.7199,0.2774,0.113,0.743,0.303,0.744855967078189,0.571788413098237,0.726,0.176,0.708,0.052,0.326
"S3_139",0.46,0.44,0.04,0.98,0.2,0.87,0.33,0.42,0.7,0.53,0.92,0.39,0.52,0.02,0.39,0.726744186046511,1,0.898,0.2072,0.154,0.4165,0.918,0.263374485596708,0.887153652392947,0.619,0.597,0.196,0.507,0.117
"S3_140",0.69,0.07,0.11,0.76,0.33,0.43,0.35,0.61,0.79,0.44,0.47,0.47,0.55,0.69,0.43,0.0813953488372092,0.798780487804878,0.7562,0.623,0.384,0.35,0.562,0.493827160493827,0.398992443324937,0.517,0.3,0.651,0.058,0.74
"S3_141",0.49,0.53,0.11,0.76,0.57,0.27,0.83,0.15,0.56,0.54,0.89,0.27,0.16,0.53,0.69,0.61046511627907,0.231707317073171,0.8289,0.4448,0.973,0.66,0.085,0.909465020576132,0.378337531486146,0.449,0.538,0.972,0.089,0.029
"S3_142",0.08,0.14,0.06,0.33,0.29,0.51,0.33,0.28,0.63,0.55,0.36,0.11,0.53,0.27,0.69,0.22093023255814,0.695121951219512,0.2292,0.1125,0.125,0.524,0.407,0.751028806584362,0.656423173803526,0.369,0.608,0.156,0.343,0.82
"S3_143",0.32,0.52,0.81,0.4,0.26,0.3,0.66,0.43,0.73,0.83,0.73,0.86,0.58,0.57,0.43,0.517441860465116,0.24390243902439,0.7336,0.3984,0.988,0.5455,0.269,0.835390946502057,0.956171284634761,0.632,0.986,0.519,0.922,0.523
"S3_144",0.16,0.99,0.18,0.68,0.89,0.71,0.5,0.28,0.09,0.18,0.52,0.29,0.38,0.25,0.01,0.726744186046511,0.0670731707317074,0.4979,0.1737,0.12,0.4375,0.708,0.0925925925925927,0.245340050377834,0.569,0.804,0.737,0.517,0.89
"S3_145",0.93,0.09,0.89,0.24,0.99,0.29,0.96,0.61,0.57,0.11,0.03,0.37,0.58,0.47,0.46,0.796511627906977,0.0365853658536586,0.8042,0.00680000000000014,0.691,0.456,0.262,0.345679012345679,0.904282115869018,0.624,0.223,0.936,0.413,0.902
"S3_146",0.14,0.6,0.77,0.92,0.66,0.97,0.49,0.01,0.78,0.99,0.28,0.31,0.3,0.28,0.25,0.808139534883721,0.0365853658536586,0.0324000000000002,0.6729,0.223,0.6475,0.479,0.191358024691358,0.162216624685139,0.438,0.87,0.685,0.66,0.446
"S3_147",0.24,0.98,0.95,0.73,0.42,0.95,0.42,0.14,0.58,0.11,0.25,0.31,0.71,0.29,0.77,0.924418604651163,0.469512195121951,0.5113,0.9209,0.943,0.843,0.144,0.141975308641975,0.0836272040302268,0.607,0.976,0.362,0.569,0.262
"S3_148",0.86,0.96,0.29,0.02,0.73,0.4,0.03,0.92,0.29,0.41,0.38,0.99,0.47,0.1,0.61,0.0348837209302324,0.268292682926829,0.2152,0.2568,0.639,0.83,0.385,0.238683127572016,0.442317380352645,0.409,0.957,0.86,0.557,0.309
"S3_149",0.15,0.28,0.09,0.13,0.39,0.77,0.83,0.99,0.34,0.68,0.43,0.77,0.73,0.84,0.13,0.401162790697674,0.871951219512195,0.3685,0.7202,0.704,0.598,0.45,0.617283950617284,0.557178841309824,0.492,0.206,0.399,0.043,0.854
"S3_150",0.57,0.58,0.91,0.75,0.98,0.3,0.85,0.56,0.07,0.46,0.63,0.61,0.97,0.39,0.81,0.633720930232558,0.0426829268292683,0.8039,0.185,0.199,0.5615,0.986,0.993827160493827,0.275062972292191,0.842,0.363,0.145,0.768,0.103
"S3_151",0.79,0.26,0.66,0.84,0.1,0.37,0.75,0.31,0.12,0.48,0.1,0.77,0.36,0.15,0.13,0.203488372093023,0.859756097560975,0.1383,0.7344,0.169,0.8855,0.392,0.506172839506173,0.614105793450882,0.628,0.589,0.534,0.304,0.981
"S3_152",0.78,0.91,0.54,0.71,0.75,0.72,0.31,0.73,0.89,0.21,0.53,0.1,0.23,0.49,0.51,0.13953488372093,0.152439024390244,0.0183,0.9592,0.0209999999999999,0.4645,0.937,0.42798353909465,0.697732997481108,0.246,0.843,0.172,0.83,0.422
"S3_153",0.42,0.69,0.42,0.88,0.29,0.13,0.44,0.54,0.49,0.83,0.19,0.23,0.81,0.52,0.33,0.773255813953488,0.75609756097561,0.5927,0.1929,0.513,0.4625,0.563,0.648148148148148,0.0523929471032746,0.871,0.511,0.791,0.397,0.76
"S3_154",0.3,0.51,0.28,0.88,0.1,0.83,0.98,0.23,0.49,0.15,0.08,0.12,0.4,0.14,0.81,0.970930232558139,0.890243902439024,0.9043,0.9903,0.341,0.086,0.182,0.495884773662551,0.136020151133501,0.12,0.614,0.878,0.026,0.606
"S3_155",0.02,0.62,0.23,0.63,0.86,0.93,0.09,0.79,0.77,0.03,0.21,0.13,0.23,0.22,0.07,0.267441860465116,0,0.571,0.395,0.507,0.548,0.387,0.0823045267489713,0.677078085642318,0.875,0.833,0.337,0.3,0.509
"S3_156",0.82,0.21,0.86,0.36,0.86,0.12,0.74,0.26,0.67,0.87,0.3,0.09,0.02,0.65,0.79,0.319767441860465,0.00609756097560976,0.8114,0.8566,0.75,0.307,0.762,0.154320987654321,0.603022670025189,0.243,0.728,0.528,0.424,0.983
"S3_157",0.66,0.86,0.73,0.65,0.3,0.39,0.11,0.16,0.61,0.43,0.67,0.12,0.63,0.92,0.09,0.790697674418605,0.859756097560975,0.306,0.3312,0.203,0.874,0.748,0.578189300411523,0.801007556675063,0.741,0.852,0.23,0.796,0.303
"S3_158",0.55,0.33,0.63,0.81,0.3,0.49,0.67,0.07,0.9,0.86,0.85,0.91,0.47,0.73,0.99,0.0581395348837208,0.896341463414634,0.3126,0.6685,0.746,0.32,0.344,0.267489711934156,0.0962216624685139,0.278,0.986,0.836,0.618,0.769
"S3_159",0.55,0.08,0.73,0.58,0.18,0.44,0.08,0.72,0.76,0.43,0.9,0.86,0.09,0.66,0.46,0.447674418604651,0.457317073170732,0.2421,0.1393,0.244,0.266,0.798,0.230452674897119,0.159697732997481,0.153,0.477,0.8,0.06,0.475
"S3_160",0.14,0.99,0.7,0.29,0.19,0.28,0.46,0.97,0.82,0.18,0.73,0.33,0.33,0.78,0.87,0.279069767441861,0.603658536585366,0.4699,0.8953,0.542,0.9035,0.666,0.228395061728395,0.405037783375315,0.584,0.812,0.953,0.48,0.47
"S3_161",0.56,0.65,0.58,0.01,0.16,0.91,0.43,0.54,0.32,0.29,0.07,0.3,0.04,0.66,0.59,0.563953488372093,0.195121951219512,0.5283,0.8475,0.236,0.0515,0.535,0.0329218106995885,0.830730478589421,0.193,0.773,0.147,0.28,0.881
"S3_162",0.34,0.33,0.88,0.21,0.91,0.6,0.5,0.08,0.03,0.94,0.75,0.87,0.03,0.15,0.92,0.936046511627907,0.445121951219512,0.4562,0.3814,0.809,0.471,0.702,0.296296296296296,0.0115869017632243,0.15,0.408,0.49,0.983,0.53
"S3_163",0.87,0.7,0.23,0.83,0.76,0.55,0.78,0.77,0.62,0.71,0.68,0.09,0.45,0.97,0.7,0.0523255813953487,0.0975609756097562,0.7696,0.1021,0.972,0.6535,0.13,0.911522633744856,0.00806045340050376,0.946,0.924,0.433,0.553,0.008
"S3_164",0.41,0.74,0.88,0.17,0.79,0.56,0.74,0.32,0.56,0.08,0.52,0.59,0.59,0.21,0.37,0.901162790697674,0.384146341463415,0.0459,0.7715,0.502,0.116,0.237,0.333333333333333,0.21007556675063,0.462,0.15,0.189,0.886,0.226
"S3_165",0.43,0.8,0.07,0.95,0.54,0.93,0.51,0.58,0.61,0.16,0.63,0.5,0.3,0.78,0.39,0.697674418604651,0.0853658536585367,0.9155,0.2994,0.454,0.577,0.983,0.240740740740741,0.509823677581864,0.997,0.77,0.457,0.483,0.941
"S3_166",0.47,0.91,0.52,0.19,0.43,0.43,0.72,0.64,0.83,0.02,0.82,0.05,0.95,0.26,0.79,0.720930232558139,0.536585365853659,0.4021,0.6541,0.917,0.6185,0.282,0.314814814814815,0.660453400503778,0.082,0.774,0.555,0.583,0.748
"S3_167",0.53,0.69,0.82,0.08,0.57,0.5,0.5,0.69,0.57,0.19,0.2,0.84,0.44,0.69,0.76,0.261627906976744,0.652439024390244,0.8745,0.2859,0.974,0.24,0.285,0.810699588477366,0.32544080604534,0.537,0.929,0.726,0.419,0.588
"S3_168",0.27,0.74,0.97,0.94,0.32,0.68,0.6,0.47,0.16,0.16,0.91,0.68,0.97,0.43,0.13,0.290697674418604,0.731707317073171,0.1754,0.702,0.862,0.802,0.21,0.290123456790123,0.445340050377834,0.949,0.665,0.417,0.787,0.922
"S3_169",0.55,0.34,0.4,0.74,0.2,0.42,0.11,0.52,0.43,0.12,0.6,0.47,0.99,0.85,0.85,0.540697674418605,0.451219512195122,0.6195,0.8541,0.629,0.269,0.359,0.52880658436214,0.778841309823678,0.102,0.349,0.992,0.986,0.337
"S3_170",0.76,0.76,0.25,0.49,0.62,0.05,0.86,0.58,0.42,0.83,0.8,0.46,0.86,0.46,0.73,0.395348837209302,0.945121951219512,0.6614,0.416,0.0369999999999999,0.325,0.892,0.0576131687242799,0.0896725440806047,0.382,0.573,0.177,0.682,0.996
"S3_171",0.42,0.3,0.97,0.6,0.44,0.04,0.65,0.2,0.21,0.76,0.14,0.01,0.03,0.17,0.88,0.883720930232558,0.201219512195122,0.7637,0.6474,0.429,0.1185,0.646,0.975308641975309,0.794962216624685,0.262,0.16,0.513,0.372,0.108
"S3_172",0.52,0.44,0.69,0.98,0.09,0.62,0.9,0.07,0.51,0.96,0.46,0.62,0.76,0.21,0.51,0.511627906976744,0.213414634146341,0.6128,0.7538,0.495,0.752,0.771,0,0.091183879093199,0.405,0.535,0.017,0.952,0.501
"S3_173",0.19,0.05,0.1,0.13,0.53,0.35,0.51,0.3,0.29,0.64,0.28,0.68,0.05,0.72,0.62,0.011627906976744,0.585365853658536,0.3905,0.8089,0.0539999999999998,0.61,0.333,0.88477366255144,0.856423173803527,0.19,0.051,0.097,0.842,0.214
"S3_174",0.19,0.16,0.55,0.49,0.58,0.82,0.59,0.18,0.39,0.95,0.52,0.68,0.82,0.56,0.66,0.401162790697674,0.707317073170732,0.1581,0.0684000000000001,0.447,0.503,0.542,0.248971193415638,0.308816120906801,0.919,0.467,0.706,0.853,0.458
"S3_175",0.29,0.18,0.46,0.12,0.94,0.59,0.43,0.09,0.68,0.41,0.72,0.48,0.19,0.33,0.4,0.616279069767442,0.914634146341463,0.0748000000000001,0.2585,0.292,0.024,0.439,0.701646090534979,0.89823677581864,0.219,0.75,0.821,0.083,0.207
"S3_176",0.25,0.48,0.53,0.15,0.29,0.15,0.37,0.74,0.1,0.8,0.63,0.82,0.14,0.33,0.25,0.0872093023255813,0.420731707317073,0.7797,0.9712,0.636,0.811,0.762,0.242798353909465,0.426196473551637,0.296,0.682,0.75,0.729,0.887
"S3_177",0.43,0.53,0.3,0.1,0.13,0.59,0.21,0.62,0.36,0.03,0.18,0.43,0.66,0.53,0.48,0.325581395348837,0.689024390243902,0.5498,0.493,0.699,0.046,0.099,0.310699588477366,0.573299748110831,0.011,0.62,0.114,0.28,0.516
"S3_178",0.39,0.23,0.24,0.25,0.75,0.92,0.99,0.75,0.13,0.81,0.37,0.85,0.97,0.12,0.8,0.872093023255814,0.981707317073171,0.8501,0.2194,0.00499999999999989,0.135,0.275,0.551440329218107,0.18992443324937,0.239,0.741,0.712,0.973,0.074
"S3_179",0.38,0.11,0.69,0.34,0.31,0.73,0.3,0.47,0.51,0.21,0.35,0.65,0.89,0.4,0.6,0.325581395348837,0.646341463414634,0.3439,0.0538,0.592,0.6045,0.255,0.837448559670782,0.143073047858942,0.397,0.6,0.773,0.549,0.005
"S3_180",0.08,0.62,0.73,0.19,0.26,0.85,0.53,0.16,0.89,0.51,0.28,0.19,0.26,0.28,0.27,0.854651162790698,0.707317073170732,0.4378,0.5227,0.269,0.9445,0.681,0.792181069958847,0.277078085642317,0.47,0.934,0.236,0.829,0.135
"S3_181",0.44,0.6,0.43,0.42,0.84,0.96,0.54,0.17,0.61,0.15,0.58,0.64,0.74,0.49,0.53,0.77906976744186,0.530487804878049,0.5,0.6747,0.56,0.275,0.472,0.109053497942387,0.820654911838791,0.025,0.216,0.319,0.74,0.06
"S3_182",0.29,0.23,0.23,0.17,0.16,0.69,0.29,0.97,0.47,0.28,0.85,0.14,0.86,0.9,0.9,0.959302325581395,0.554878048780488,0.2549,0.8756,0.979,0.0165,0.698,0.960905349794238,0.761712846347607,0.505,0.746,0.294,0.789,0.154
"S3_183",0.32,0.9,0.65,0.77,0.22,0.82,0.2,0.57,0.38,0.38,0.4,0.47,0.16,0.39,0.12,0.912790697674419,0.231707317073171,0.9916,0.6892,0.965,0.3325,0.624,0.0411522633744856,0.804534005037783,0.42,0.301,0.476,0.106,0.679
"S3_184",0.7,0.07,0.21,0.89,0.83,0.45,0.82,0.71,0.24,0.64,0.56,0.54,0.92,0.24,0.85,0.587209302325581,0.426829268292683,0.6558,0.3493,0.0230000000000001,0.5575,0.854,0.965020576131687,0.504785894206549,0.881,0.707,0.928,0.674,0.504
"S3_185",0.35,0.51,0.27,0.33,0.11,0.45,0.37,0.3,0.7,0.19,0.47,0.24,0.43,0.75,0.41,0.116279069767442,0.841463414634146,0.3674,0.2882,0.518,0.944,0.656,0.187242798353909,0.385390428211587,0.406,0.914,0.323,0.821,0.265
"S3_186",0.43,0.96,0.17,0.32,0.89,0.75,0.89,0.35,0.65,0.98,0.72,0.6,0.25,0.58,0.38,0.319767441860465,0.469512195121951,0.5055,0.0718,0.913,0.536,0.168,0.0226337448559671,0.121410579345088,0.921,0.447,0.51,0.969,0.623
"S3_187",0.28,0.69,0.31,0.75,0.49,0.49,0.87,0.59,0.14,0.82,0.94,0.28,0.64,0.38,0.52,0.755813953488372,0.158536585365854,0.6567,0.6629,0.91,0.311,0.907,0.54320987654321,0.304785894206549,0.194,0.71,0.75,0.719,0.143
"S3_188",0.75,0.3,0.05,0.66,0.87,0.52,0.89,0.96,0.23,0.7,0.57,0.15,0.41,0.9,0.35,0.203488372093023,0.353658536585366,0.0593,0.0213000000000001,0.572,0.1645,0.835,0.829218106995884,0.0725440806045341,0.208,0.558,0.107,0.947,0.586
"S3_189",0.43,0.45,0.56,0.79,0.42,0.19,0.67,0.4,0.75,0.85,0.41,0.24,0.61,0.7,0.22,0.656976744186046,0.402439024390244,0.4671,0.2047,0.999,0.5505,0.052,0.495884773662551,0.58992443324937,0.979,0.001,0.036,0.297,0.694
"S3_190",0.82,0.79,0.21,0.01,0.85,0.62,0.84,0.32,0.99,0.51,0.72,0.78,0.35,0.89,0.94,0.459302325581395,0.518292682926829,0.7716,0.6871,0.348,0.0335,0.422,0.602880658436214,0.829722921914358,0.697,0.963,0.578,0.897,0.101
"S3_191",0.12,0.07,0.13,0.56,0.92,0.69,0.39,0.51,0.35,0.88,0.24,0.3,0.67,0.4,0.74,0.767441860465116,0.396341463414634,0.1613,0.7428,0.23,0.391,0.751,0.748971193415638,0.390931989924433,0.61,0.071,0.178,0.673,0.87
"S3_192",0.94,0.47,0.68,0.86,0.11,0.5,0.2,0.55,0.28,0.63,0.05,0.76,0.41,0.82,0.8,0.209302325581395,0.0121951219512195,0.2313,0.1257,0.761,0.343,0.287,0.641975308641975,0.736523929471033,0.66,0.673,0.101,0.527,0.535
"S3_193",0.74,0.38,0.56,0.91,0.32,0.26,0.17,0.41,0.37,0.78,0.8,0.21,0.75,0.88,0.66,0.808139534883721,0.310975609756098,0.1512,0.3778,0.94,0.7705,0.455,0.0720164609053499,0.348110831234257,0.778,0.61,0.038,0.356,0.305
