run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
discount_low,2050,10382.9,4413.15,15.3134,4.24331,-3228.59,0.0,4.24914,0.0,0.998776,120606.0,0.139047,98.9544,0.139429,709.713,610.759,0.139429
export_0.8,2023,5313.52,2466.49,46.7364,12.9505,-774.803,0.0,13.0066,0.0,0.488652,30196.8,0.139056,24.7726,0.241105,102.746,77.9733,0.241105
export_0.8,2024,5363.22,2540.0,42.8033,11.8607,-868.786,0.0,11.9468,0.0,0.550972,34366.5,0.139056,28.1934,0.265255,106.288,78.0945,0.265255
export_0.8,2025,5433.17,2611.02,40.2403,11.1505,-944.572,0.0,11.2294,0.0,0.611732,38654.0,0.139055,31.7109,0.273201,116.071,84.3605,0.273201
export_0.8,2026,5540.59,2672.96,37.9299,10.5102,-1011.59,0.0,10.5848,0.0,0.669207,43121.7,0.139055,35.3762,0.279131,126.737,91.3609,0.279131
export_0.8,2027,5666.81,2726.18,35.8318,9.92888,-1070.75,0.0,9.99898,0.0,0.722039,47586.0,0.139055,39.0388,0.282416,138.232,99.1927,0.282416
export_0.8,2028,5808.87,2772.92,33.935,9.40328,-1123.55,0.0,9.46704,0.0,0.769342,51974.6,0.139055,42.6393,0.283544,150.38,107.74,0.283544
export_0.8,2029,5966.46,2818.64,32.2112,8.92564,-1173.4,0.0,8.98348,0.0,0.810705,56254.8,0.139054,46.151,0.282842,163.169,117.018,0.282842
export_0.8,2030,6139.39,2864.39,30.6476,8.49235,-1221.09,0.0,8.54452,0.0,0.846134,60415.0,0.139054,49.5642,0.280605,176.634,127.069,0.280605
export_0.8,2031,6278.37,2910.51,29.2746,8.1119,-1266.47,0.0,8.15687,0.0,0.875947,63959.4,0.139054,52.4723,0.276944,189.469,136.997,0.276944
export_0.8,2032,6428.74,2972.66,28.0236,7.76524,-1319.25,0.0,7.80548,0.0,0.900662,67339.1,0.139053,55.2453,0.272458,202.766,147.521,0.272458
export_0.8,2033,6590.22,3036.87,26.8797,7.44827,-1371.72,0.0,7.48449,0.0,0.920897,70581.4,0.139053,57.9057,0.26742,216.535,158.629,0.26742
export_0.8,2034,6762.56,3102.89,25.83,7.15741,-1423.93,0.0,7.19003,0.0,0.937297,73717.1,0.139052,60.4785,0.262036,230.803,170.324,0.262036
export_0.8,2035,6945.54,3170.46,24.87,6.89141,-1475.81,0.0,6.92049,0.0,0.95048,76776.7,0.139052,62.9891,0.256441,245.627,182.638,0.256441
export_0.8,2036,7115.09,3239.62,23.9994,6.65016,-1527.38,0.0,6.67558,0.0,0.961007,79521.9,0.139051,65.2417,0.250709,260.229,194.987,0.250709
export_0.8,2037,7293.48,3310.73,23.2058,6.43025,-1578.98,0.0,6.45307,0.0,0.969368,82224.9,0.139051,67.4597,0.245157,275.169,207.71,0.245157
export_0.8,2038,7480.55,3383.65,22.4841,6.23027,-1630.62,0.0,6.2509,0.0,0.975981,84909.2,0.139051,69.6624,0.239251,291.168,221.506,0.239251
export_0.8,2039,7676.16,3458.17,21.8093,6.0433,-1682.5,0.0,6.06257,0.0,0.981194,87594.9,0.13905,71.8662,0.233253,308.104,236.238,0.233253
export_0.8,2040,7880.21,3534.68,21.177,5.86808,-1734.95,0.0,5.88574,0.0,0.985293,90299.0,0.13905,74.0853,0.22736,325.85,251.765,0.22736
