"energy_technologies","year","value"
"Onshore","2047",825.523853650312
"Offshore","2047",302.752739085012
"Solar PV","2047",9823.00141111853
"CSP","2047",234.377681168069
"Geothermal","2047",10.5227667970101
"Fuel Cells","2047",3.65340033196795
"Nuclear","2048",1374.64216099045
"Oil","2048",188.017118126427
"Coal","2048",1978.11316386581
"Coal + CCS","2048",33.1303009154826
"IGCC","2048",85.0630374044998
"IGCC + CCS","2048",0.746364937876257
"CCGT","2048",2130.52286600626
"CCGT + CCS","2048",31.3015312248813
"Solid Biomass","2048",178.305821608232
"Biogas","2048",112.442222790571
"Large Hydro","2048",527.294428889825
"Onshore","2048",816.607474549181
"Offshore","2048",303.624051674146
"Solar PV","2048",9914.57771046384
"CSP","2048",261.433187143526
"Geothermal","2048",10.501750704785
"Fuel Cells","2048",3.65541912882774
"Nuclear","2049",1414.26339413347
"Oil","2049",189.697269561533
"Coal","2049",2013.87788092495
"Coal + CCS","2049",33.4344355165089
"IGCC","2049",85.7335869254389
"IGCC + CCS","2049",0.763305880175442
"CCGT","2049",2170.17055379533
"CCGT + CCS","2049",31.5150285756397
"Solid Biomass","2049",178.663006007293
"Biogas","2049",115.286309988826
"Large Hydro","2049",522.3197937125
"Onshore","2049",807.808794526908
"Offshore","2049",304.760473832452
"Solar PV","2049",10002.6745100913
"CSP","2049",290.406559691307
"Geothermal","2049",10.4871472621985
"Fuel Cells","2049",3.65774916463053
"Nuclear","2050",1451.08555228807
"Oil","2050",191.804437512453
"Coal","2050",2050.86556743989
"Coal + CCS","2050",33.7611706669861
"IGCC","2050",86.6654762429773
"IGCC + CCS","2050",0.78030306673139
"CCGT","2050",2212.31991417561
"CCGT + CCS","2050",31.7380899505364
"Solid Biomass","2050",179.168696108692
"Biogas","2050",118.28593735062
"Large Hydro","2050",518.207852634321
"Onshore","2050",799.593415384481
"Offshore","2050",306.280981134578
"Solar PV","2050",10093.7067983041
"CSP","2050",321.095734641332
"Geothermal","2050",10.4822331932945
"Fuel Cells","2050",3.66151664838261
